,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b3767,12.72632185,9.504592657,8.510350636,11.00193322,13.75805525,1.837140226,10.29399268,12.37973185
b0054,12.69092813,13.52929391,7.725657259,11.2226429,12.46615036,7.817966914,8.320528612,9.40557342
b1724,10.68711137,7.50122662,12.58841662,6.78499379,8.905458916,15.08854716,3.871646355,3.235227384
b0863,11.56387357,9.989388294,9.730387067,11.6794451,13.4442219,14.8663683,12.3469476,9.688791395
b1124,13.44188953,13.52156779,15.81831021,14.77758275,6.405786506,6.698294648,12.66102425,11.98797411
b3981,8.971781844,7.787912759,9.543326721,11.45932145,12.51953029,8.072553052,13.43732286,14.39391756
b2751,8.934038642,11.5832977,12.53687091,9.558917733,13.49818025,0.397186941,16.52480828,21.12395358
b1199,7.632352059,9.860751075,9.086332041,9.218093565,10.88964357,12.11824499,8.680560213,9.671682592
b4188,15.79792733,4.046697686,1.0446096,1.1040497,3.92753653,32.99199232,0.477903178,0.243864647
b2977,4.55133985,2.492794936,4.403253662,5.144782045,5.410586696,4.350334146,3.004522032,0.896410561
b2013,9.990368276,12.40792529,22.68094658,18.70185494,18.46445452,0.467092118,8.590702354,8.961702451
b4244,8.894846355,9.789077481,5.287351701,7.667875385,2.541691776,1.505447596,19.68650384,26.88117608
b2909,9.151059597,11.90333714,16.36106881,11.81198051,11.25915105,10.10505542,12.49020431,14.66250463
b1641,4.375342933,7.31557419,2.708988549,4.448336169,4.821190938,4.267609573,4.426133562,3.161688643
b4036,12.61962427,3.390750512,2.082975037,14.58229225,11.74524414,10.8885716,8.651504488,0.963375349
b3236,10.87064558,7.422153295,12.26357677,13.44830973,11.5799211,9.235063975,11.93829708,6.951538941
b0014,10.61797616,9.492861982,11.5232493,9.462504942,10.43243492,11.50006371,10.38863131,12.60831542
